player_name,player_team,position,injury_status,league_team,minutes,free_throws_made,free_throws_attempted,free_throw_percentage,three_pointer,rebounds,assists,steals,blocks,points
Luc Mbah a Moute,Hou,SF,DTD,"",16.5,0.5,0.5,1.000,1.5,2.5,0.5,1.0,0.0,10.0
Norman Powell,Tor,SG,"","",11.0,0.0,0.0,.000,0.7,1.0,0.7,0.0,0.3,4.7
Zach Collins,Por,C,"","",13.0,0.0,0.0,.000,0.0,2.7,0.3,0.0,0.7,2.0
Kenneth Faried,Den,PF,"","",--,--,--,--,--,--,--,--,--,--
Garrett Temple*,Sac,SG,O,"",--,--,--,--,--,--,--,--,--,--
Tyler Dorsey,Atl,SG,"","",25.3,0.0,0.5,.000,2.8,3.5,2.0,0.3,0.0,11.8
Alec Burks,Utah,SG,"","",4.0,0.0,0.0,.000,0.0,0.0,0.0,0.0,0.0,0.0
Ian Mahinmi,Wsh,C,"","",14.7,1.3,1.7,.800,0.0,4.0,1.3,1.0,0.0,8.7
OG Anunoby,Tor,SF,"","",15.0,0.0,0.5,.000,0.5,1.5,1.0,0.8,0.3,3.5
Dante Exum,Utah,SG,"","",13.3,1.0,1.0,1.000,0.3,1.3,3.0,0.5,0.0,6.3
Tony Snell,Mil,SF,"","",15.3,0.7,0.7,1.000,1.3,0.3,1.0,0.0,0.0,6.7
Davis Bertans,SA,SF,"","",5.0,0.0,0.0,.000,0.7,1.3,0.0,0.3,0.0,2.0
Mario Chalmers,Mem,PG,"","",16.0,1.0,1.0,1.000,0.5,2.5,2.5,1.0,0.0,6.5
Nene ,Hou,PF,"","",15.0,0.0,0.0,.000,0.0,3.0,1.0,1.0,1.0,2.0
Harry Giles*,Sac,PF,O,"",--,--,--,--,--,--,--,--,--,--
Raymond Felton,OKC,PG,"","",14.3,0.3,0.3,1.000,0.7,1.0,1.0,1.0,0.3,7.7
Mike James,Nor,PG,"","",--,--,--,--,--,--,--,--,--,--
Mike Scott,Wsh,PF,"","",19.0,0.0,0.0,.000,1.0,4.0,1.0,0.0,0.0,4.0
Dante Cunningham,Bkn,PF,"","",22.0,0.5,1.0,.500,1.5,3.0,1.0,0.0,1.0,8.0
Tyler Zeller,Mil,C,"","",7.0,0.0,0.0,.000,0.0,0.5,1.5,0.0,0.0,1.0
